skills,job_role
python,ml engineer
python numpy pandas,data analyst
python deep learning tensorflow,ai engineer
sql excel powerbi,data analyst
java spring sql,backend developer
html css javascript,frontend developer
python sklearn data visualization,data analyst
python nlp deep learning,ml engineer
javascript react node,frontend developer
python django rest api,backend developer
aws docker kubernetes,devops engineer
python fastapi sql,backend developer
tableau sql data analysis,data analyst
python pytorch computer vision,ai engineer
java microservices spring boot,backend developer
html css javascript react,frontend developer
python selenium testing,qa engineer
c# .net sql server,backend developer
python data science statistics,data scientist
javascript vue.js typescript,frontend developer
python flask mongodb,backend developer
r statistics data visualization,data analyst
python scikit-learn pandas,ml engineer
angular typescript rxjs,frontend developer
python opencv image processing,ai engineer
sql nosql database design,database administrator
python keras neural networks,ai engineer
javascript node express mongodb,backend developer
python scrapy data extraction,data engineer
powerbi dax excel,data analyst
python pyspark big data,data engineer
java spring security oauth,backend developer
react native javascript,mobile developer
python tensorflow keras,ai engineer
git github ci cd,devops engineer
python airflow etl,data engineer
javascript webpack babel,frontend developer
python transformers nlp,ml engineer
terraform aws infrastructure,devops engineer
python dash plotly,data analyst
